Customer ID,Name,Age,Gender,Email,Phone Number,Industry Sector,Number of Employees,Monthly Subscription Tier,Last Interaction Date,Total Spend (AED)
CUST0319,Herrera Group,52,Male,holly30@miller.com,502345670,Manufacturing,155,Basic,7/19/2024,194602.47
CUST0684,"Green, Watson and Brady",27,Other,wiseanthony@yahoo.com,508765433,Manufacturing,66,Premium,5/22/2024,206761.69
CUST0227,Scott Inc,52,Female,joycesmith@sanchez.com,501234569,Healthcare,64,Basic,2/16/2024,417281.13
CUST0469,"Nunez, Williams and Walker",42,Other,djones@ayala-collins.com,505678925,Finance,878,Enterprise,5/23/2024,193288.61
CUST0105,"Bonilla, Cuevas and Parsons",18,Female,adamortiz@weaver.com,503456783,Retail,772,Premium,7/20/2024,427456.74
CUST0571,Haynes-Watson,44,Other,wagnerdana@jones-bradley.biz,504567891,IT,820,Enterprise,2/12/2024,449416.62
CUST0783,Garcia Group,49,Male,richard85@gmail.com,506543211,Retail,447,Premium,10/3/2024,19367.29
CUST0345,Schmitt Group,39,Other,jorge20@bond-hawkins.net,502345671,Healthcare,742,Basic,11/15/2024,421050.3
CUST0859,Watson-Mccoy,26,Other,samantha10@gonzalez.info,503456784,IT,28,Premium,7/11/2024,297986.92
CUST0627,Reyes Group,60,Male,jason24@griffin-hernandez.org,507654323,Finance,659,Premium,3/18/2024,72171.25
CUST0038,"Wilkerson, Fox and Mccoy",47,Male,wcasey@stephens-washington.org,508765434,Finance,267,Premium,3/31/2024,167039.57
CUST0193,Garcia Ltd,47,Female,amanda03@bradford.com,501234570,Retail,780,Premium,8/6/2024,142737.02
CUST0432,Copeland Group,44,Female,tracydavis@gmail.com,502345672,Finance,482,Basic,1/9/2024,375767.01
CUST0059,Willis and Sons,21,Female,susan56@garcia.com,503456785,Manufacturing,666,Basic,3/10/2024,391710.36
CUST0174,"Smith, Miles and Berry",59,Male,carriemccall@walker.com,509876545,Finance,973,Basic,11/1/2024,103683.54
CUST0702,Le Inc,19,Other,koconnor@yahoo.com,505678926,Manufacturing,245,Basic,5/3/2024,239412.73
CUST0119,Lynn-Jones,25,Other,emartin@mcmahon.org,507654324,Manufacturing,477,Enterprise,4/13/2024,131840.63
CUST0387,"Campbell, Young and Williams",41,Male,briansmith@gmail.com,502345673,IT,622,Enterprise,7/8/2024,360586.83
CUST0825,"Baker, May and Hughes",28,Female,cwood@gmail.com,508765435,Finance,593,Basic,10/20/2024,464799.15
CUST0253,"Perez, Brown and Hughes",54,Other,parmstrong@yahoo.com,501234571,Healthcare,407,Enterprise,11/9/2024,103173.24
CUST0498,Martinez Group,55,Other,oharris@flowers.com,502345674,Manufacturing,105,Enterprise,10/30/2024,387378.04
CUST0066,Rodriguez-Hernandez,61,Other,hartcraig@dillon-beard.biz,503456786,Finance,816,Enterprise,1/16/2024,392404.5
CUST0641,Preston-Rivera,40,Other,reesesamantha@smith-roth.com,505678927,Healthcare,678,Premium,3/23/2024,39133.58
CUST0284,Figueroa-Malone,59,Female,robertsonerik@yahoo.com,503456787,Finance,870,Premium,1/20/2024,412053.8
CUST0097,Bush-Hill,24,Female,hreid@hotmail.com,507654325,Retail,651,Premium,5/13/2024,355117.78
CUST0563,Monroe LLC,45,Male,anthony02@chan.com,508765436,IT,989,Enterprise,10/3/2024,138690.79
CUST0716,"Day, Coleman and Bennett",52,Female,dking@yahoo.com,501234572,Healthcare,447,Enterprise,1/25/2024,298274.94
CUST0152,Mcneil-Davidson,38,Male,diana43@gmail.com,502345675,Finance,286,Premium,10/1/2024,125712.4
CUST0448,"Cabrera, Cooper and Reeves",47,Other,william28@gmail.com,509876546,IT,685,Premium,5/24/2024,171516.33
CUST0879,Richards-Ford,49,Female,obrown@carpenter.com,505678928,Manufacturing,500,Basic,10/4/2024,180638.36
CUST0246,Maxwell Group,34,Female,lawrencebrown@yahoo.com,503456788,Retail,902,Enterprise,5/28/2024,352085.96
CUST0581,Johnson and Sons,35,Other,mcclainkatherine@hotmail.com,507654326,Finance,530,Basic,8/16/2024,47378.42
CUST0794,Jackson-Colon,64,Female,stephen89@hotmail.com,508765437,Healthcare,569,Basic,7/14/2024,346851.62
CUST0843,Martinez Ltd,59,Other,qmcdowell@dean.com,501234573,Healthcare,459,Basic,6/12/2024,51061.41
CUST0660,"Garcia, Meyer and Dean",32,Female,grivas@higgins.com,502345676,Manufacturing,314,Enterprise,9/24/2024,292870.01
CUST0512,Rivera-Smith,48,Other,conleyelizabeth@herring.com,503456789,IT,353,Premium,6/14/2024,498332.57
CUST0306,"Wilson, York and Zamora",53,Female,elizabethjackson@kline-friedman.com,509876547,Retail,720,Premium,2/21/2024,139103.63
CUST0235,"Barber, Jarvis and Richard",34,Male,epruitt@gregory.com,505678929,Finance,739,Basic,10/25/2024,161196.23
CUST0481,"Ray, Cunningham and Levine",65,Other,reynoldsjessica@yahoo.com,507654327,Manufacturing,197,Basic,5/4/2024,370609.3
CUST0162,Rivera LLC,35,Other,andreagray@miller.org,502345677,IT,779,Enterprise,1/1/2024,300411.42
CUST0664,Conner PLC,24,Male,diamondbryant@yahoo.com,508765438,Retail,233,Premium,1/1/2024,93823.56
CUST0396,Kelly-Schultz,18,Other,jacqueline02@yahoo.com,501234574,IT,130,Premium,11/16/2024,27530.27
CUST0292,Love Inc,21,Other,housemary@hotmail.com,502345678,Retail,715,Basic,6/17/2024,320745.48
CUST0175,"Webb, Romero and Morse",49,Male,jessicaanderson@sandoval-obrien.com,503456790,Finance,588,Premium,9/29/2024,237351.49
CUST0113,"Valencia, Joseph and Walls",46,Female,jasonklein@reed.com,505678930,Manufacturing,989,Basic,1/10/2024,129976.8
CUST0639,Thomas-Santiago,48,Male,karen24@king.com,507654328,Finance,411,Premium,4/2/2024,41670.67
CUST0017,"Mueller, Lindsey and Roberts",58,Other,yhughes@edwards.com,508765439,Finance,156,Basic,6/23/2024,406515.33
CUST0457,Lucero Inc,37,Male,jillwilson@patterson.com,501234575,Manufacturing,122,Enterprise,8/19/2024,383399.51
CUST0734,Ayala Ltd,56,Other,jtyler@yahoo.com,502345679,IT,232,Enterprise,7/27/2024,193287.12
CUST0201,Davis-Walker,46,Female,mark43@moreno.com,503456791,IT,440,Premium,5/29/2024,286471.59
CUST0503,Fernandez-Campbell,21,Other,stucker@hotmail.com,505678931,Finance,971,Basic,9/17/2024,314629.94
CUST0302,"Ayala, Hancock and Coleman",34,Other,amandapark@rowe.com,507654329,Finance,161,Basic,8/11/2024,91037.71
CUST0352,Bartlett Group,22,Male,bmccoy@yahoo.com,508765440,Finance,419,Premium,7/14/2024,346238.71
CUST0806,Roberts Ltd,48,Female,campbellsara@yahoo.com,501234576,Finance,238,Premium,8/3/2024,354943.14
CUST0128,Martinez Inc,62,Female,torreskaitlin@hotmail.com,502345680,Finance,704,Basic,1/22/2024,462335.97
CUST0393,"Murray, Dunn and Roberts",58,Other,corey97@howard-lambert.com,503456792,Manufacturing,436,Basic,9/26/2024,274558.38
CUST0618,"Hernandez, Knight and Aguirre",59,Male,adamsanchez@gmail.com,505678932,Retail,847,Basic,3/9/2024,40347.87
CUST0721,"Obrien, Wilkinson and Trevino",28,Female,josemercado@luna.net,507654330,IT,767,Enterprise,6/1/2024,460990.3
CUST0082,Vance PLC,46,Male,stevendixon@yahoo.com,508765441,Healthcare,706,Premium,10/12/2024,351368.17
CUST0132,"Webb, Howard and Robinson",35,Other,bryanwood@gmail.com,501234577,IT,506,Premium,8/9/2024,44818.72
CUST0268,Bennett Group,20,Female,blacknicholas@gmail.com,502345681,Retail,619,Premium,3/23/2024,17803.12
CUST0849,Lopez LLC,32,Other,robertrivera@olson.info,503456793,IT,602,Basic,2/22/2024,499788.35
CUST0194,"Hunt, Macdonald and Thomas",61,Female,sandra86@costa.com,505678933,IT,42,Basic,11/4/2024,237897.91
CUST0776,"Hoover, White and Keller",59,Female,jennifercooper@yahoo.com,507654331,Retail,186,Enterprise,8/23/2024,220763.07
CUST0371,Thompson PLC,49,Male,davisdonna@ryan.biz,508765442,Healthcare,357,Premium,7/4/2024,169987.65
CUST0218,Kent Inc,60,Male,ascott@hotmail.com,501234578,Manufacturing,338,Premium,9/10/2024,348368.47
CUST0765,"King, Wyatt and Henderson",36,Other,victoria63@yahoo.com,502345682,Healthcare,834,Enterprise,5/13/2024,23165.08
CUST0603,"Sanders, Taylor and Shields",23,Female,seanlyons@garcia.biz,503456794,Retail,332,Basic,5/24/2024,485241.44
CUST0104,Lynch Ltd,43,Other,hmendez@yahoo.com,505678934,Finance,674,Enterprise,7/19/2024,233678.29
CUST0628,"Hall, Jackson and Johnson",21,Male,cantrellchristopher@chan-gomez.biz,507654332,IT,371,Enterprise,8/23/2024,379439.36
CUST0258,Gibson Group,58,Female,gregory81@jones.net,508765443,Finance,209,Premium,7/6/2024,276863.72
CUST0314,Scott Group,36,Female,laurengutierrez@black-smith.com,501234579,Healthcare,125,Basic,3/25/2024,486707.67
CUST0749,"Adams, Valentine and Vega",56,Male,pmclaughlin@allen.com,502345683,Manufacturing,319,Enterprise,5/2/2024,11768.86
CUST0130,Villanueva-Ibarra,44,Male,wwhite@hotmail.com,503456795,Manufacturing,862,Basic,9/23/2024,233416.71
CUST0379,Bryant Inc,25,Other,hannah03@yahoo.com,505678935,Manufacturing,511,Enterprise,7/2/2024,149471.47
CUST0654,"Cooper, White and Coleman",63,Female,michael64@yahoo.com,507654333,Healthcare,855,Premium,3/17/2024,490221.09
CUST0192,Marsh Ltd,33,Female,lshaffer@porter-cowan.net,508765444,IT,149,Premium,1/24/2024,99352.13
CUST0343,Cervantes Group,56,Other,qgarner@ward-grant.com,501234580,Manufacturing,885,Basic,9/18/2024,141742.46
CUST0167,"Freeman, Doyle and Preston",44,Female,steven22@hotmail.com,502345684,IT,274,Basic,4/15/2024,145005.3
CUST0767,Norman-Mcmillan,37,Other,bjackson@gmail.com,503456796,IT,676,Premium,7/22/2024,433303.99
CUST0272,Garcia PLC,46,Other,penanicole@perez-rojas.info,505678936,Healthcare,354,Premium,2/22/2024,278199.12
CUST0125,"Ryan, Garza and Bryant",52,Female,regina78@gmail.com,507654334,Healthcare,956,Premium,11/12/2024,435452.83
CUST0785,Cooper Group,62,Male,earroyo@smith-jordan.com,508765445,IT,393,Basic,3/26/2024,428726.42
CUST0421,Miller-Garrett,44,Male,deborah84@yahoo.com,501234581,Retail,763,Premium,7/10/2024,354087.8
CUST0359,Flores and Sons,42,Female,lopezcurtis@martinez-gonzales.com,502345685,Manufacturing,508,Basic,6/29/2024,67491.9
CUST0240,"Moody, Rivera and Bridges",55,Female,adamsphilip@harrison.biz,503456797,Finance,896,Premium,9/15/2024,54357.29
CUST0658,Kennedy Ltd,47,Male,eric08@hotmail.com,505678937,Manufacturing,420,Enterprise,5/6/2024,485128.61
CUST0486,Jackson LLC,22,Female,amccormick@perkins.info,507654335,Retail,347,Enterprise,9/7/2024,347888.78
CUST0569,Miles Inc,59,Male,jhall@sherman.com,508765446,Retail,873,Enterprise,9/27/2024,430374.38
CUST0142,Lopez-Lopez,42,Female,jessica49@hotmail.com,501234582,Healthcare,894,Enterprise,10/28/2024,22770.05
CUST0414,"Hunter, Gross and Andrade",22,Male,malikbrown@hotmail.com,502345686,Retail,233,Enterprise,1/18/2024,49737.77
CUST0180,White Inc,24,Other,washingtoncorey@may.org,503456798,Finance,455,Basic,5/20/2024,348530.58
CUST0665,"Paul, Zamora and Short",19,Male,allison14@blackburn.com,505678938,Retail,816,Basic,10/17/2024,150217.05
CUST0597,"Perry, Garcia and Fowler",41,Female,bpark@gmail.com,507654336,Manufacturing,251,Enterprise,5/2/2024,208965.62
CUST0221,"Frey, Nguyen and Watson",61,Male,charlene98@gmail.com,508765447,Manufacturing,180,Basic,1/3/2024,306698.43
CUST0774,Joyce-Lewis,42,Other,ingramsherry@yahoo.com,501234583,Manufacturing,510,Enterprise,2/23/2024,75843.27
CUST0149,Richardson-Perkins,47,Other,lisa19@carroll-robinson.com,502345687,Retail,471,Premium,5/15/2024,335086.16
CUST0724,Butler-Parrish,47,Female,walterscrystal@torres.com,503456799,IT,162,Basic,8/11/2024,223656.24
CUST0594,"Davis, Reynolds and Hartman",40,Other,matthewalvarez@williams.net,505678939,Retail,655,Premium,4/13/2024,346705.19
CUST0179,Morris-Glass,47,Female,powersrodney@lee-cooper.com,507654337,Manufacturing,394,Premium,10/14/2024,57793.37
CUST0731,Sanchez PLC,42,Other,alexander14@ruiz-rivera.net,508765448,Retail,589,Premium,8/14/2024,496382.56
CUST0223,"Rose, Scott and Brown",36,Male,brian01@guerrero-alvarado.com,501234584,Healthcare,282,Basic,7/25/2024,285134.86
CUST0422,Lopez PLC,61,Other,williamssandra@yahoo.com,502345688,Finance,933,Enterprise,8/3/2024,373860.22
CUST0752,Perez-Peterson,36,Male,christopherreyes@hotmail.com,503456800,IT,822,Premium,9/10/2024,113407.25
CUST0842,Carpenter Ltd,30,Other,kylethornton@browning.com,505678940,Retail,695,Enterprise,4/27/2024,384898.03
CUST0397,Reese-Underwood,61,Male,kimberlyrodriguez@gmail.com,507654338,Finance,926,Enterprise,9/23/2024,324938.6
CUST0740,Howard Ltd,37,Female,waynejacobs@hotmail.com,508765449,Finance,594,Premium,3/27/2024,367518.09
CUST0623,"Powers, Harris and Harris",23,Female,fcamacho@nguyen.biz,501234585,Retail,766,Premium,1/17/2024,91941.83
CUST0215,Stone Group,26,Other,oblack@lee.biz,502345689,Retail,544,Enterprise,3/10/2024,457176.05
CUST0678,"Pace, Horton and Taylor",28,Female,shannon27@hotmail.com,503456801,Healthcare,991,Premium,10/1/2024,374546.88
CUST0247,Acosta-Hester,39,Male,cpierce@barr.com,505678941,Healthcare,987,Basic,2/21/2024,74674.72
CUST0585,Smith LLC,32,Other,fjimenez@aguirre.com,507654339,Healthcare,991,Enterprise,4/18/2024,186058.65
CUST0156,"Fuller, Wilkins and Clark",43,Male,brianbailey@nash.org,508765450,Retail,550,Basic,3/9/2024,230119.08
CUST0259,Curry-Ward,61,Other,mackmarcus@wilkins-chang.net,501234586,Retail,599,Premium,9/27/2024,412096.56
CUST0361,Salazar Inc,41,Male,mramsey@mitchell.net,502345690,Manufacturing,483,Basic,8/24/2024,311675.7
CUST0289,Erickson and Sons,53,Female,johnsoncolleen@mclaughlin.org,503456802,IT,227,Enterprise,5/5/2024,36292.44
CUST0517,Wilson LLC,47,Other,nramsey@gmail.com,505678942,Retail,665,Premium,7/27/2024,62754.59
CUST0373,Ford-Olsen,20,Male,annette58@smith.com,507654340,Retail,505,Basic,3/13/2024,53110.04
CUST0818,"Wilson, Patton and Parker",52,Male,nelsonchristopher@gmail.com,508765451,Healthcare,465,Premium,1/10/2024,336890.68
CUST0198,Stein-Moore,65,Other,hoconnor@yahoo.com,501234587,IT,430,Enterprise,2/3/2024,372423.16
CUST0699,Owens-Williams,27,Female,lanelarry@gmail.com,502345691,Finance,854,Premium,8/5/2024,309747.85
CUST0085,"Garcia, Daniels and Dunn",35,Male,sherrybrock@hotmail.com,503456803,Retail,223,Premium,7/1/2024,225124.45
CUST0521,"Williams, Reyes and Miller",33,Female,janetvance@hotmail.com,505678943,Finance,703,Premium,2/7/2024,274510.6
CUST0738,Collins-Newman,59,Female,ohall@gmail.com,507654341,Finance,408,Premium,7/4/2024,98955.24
CUST0650,Singleton-Campbell,25,Female,williamsullivan@hotmail.com,508765452,Finance,679,Basic,8/29/2024,322643.71
CUST0279,Kelley Group,56,Male,petersonlisa@hotmail.com,501234588,Finance,806,Premium,2/7/2024,125566.6
CUST0845,Thompson-Blanchard,26,Other,jenningscandace@murphy-newman.com,502345692,Manufacturing,71,Enterprise,8/27/2024,107542.9
CUST0514,"West, Harris and Rich",31,Male,samantha65@gmail.com,503456804,Retail,793,Basic,1/1/2024,395378.66
CUST0384,"Castro, Irwin and Rodriguez",56,Male,youngjacqueline@yahoo.com,505678944,Retail,880,Basic,6/11/2024,493826.02
CUST0188,Roberts Ltd,52,Female,alexanderwong@griffith.biz,507654342,Manufacturing,113,Enterprise,6/13/2024,433891.7
CUST0508,"Wilkins, Cruz and Perez",26,Male,lanemelanie@gmail.com,508765453,Retail,809,Basic,7/6/2024,296482.2
CUST0762,"Miller, Cross and Fox",19,Male,hblack@hotmail.com,501234589,Retail,54,Basic,10/29/2024,372150.44
CUST0425,Harrison PLC,51,Male,robert44@gmail.com,502345693,Finance,488,Premium,9/11/2024,390118.43
CUST0610,Lamb-Weber,50,Other,gmiller@gmail.com,503456805,Finance,463,Enterprise,5/23/2024,114667.13
CUST0560,Green Ltd,57,Male,hwhite@cooper.com,505678945,IT,309,Premium,1/21/2024,323453.64
CUST0270,Marshall Group,19,Male,wreese@hotmail.com,507654343,Healthcare,868,Premium,5/28/2024,216005.44
CUST0160,"Stewart, Moreno and Blanchard",24,Female,stephanie69@garrison.com,508765454,Healthcare,76,Basic,1/27/2024,164445.35
CUST0592,Jenkins PLC,27,Male,ubell@king-johnson.org,501234590,Manufacturing,282,Enterprise,9/11/2024,318372.98
CUST0789,"Knight, Coffey and Kemp",53,Other,kenneth17@hammond-schwartz.com,502345694,Retail,391,Enterprise,7/9/2024,267625.63
CUST0491,Bishop and Sons,47,Other,thomaskayla@gmail.com,503456806,IT,441,Basic,9/10/2024,397582.57
CUST0178,"Smith, Johnson and Myers",25,Other,rebecca90@zimmerman.biz,505678946,IT,739,Basic,9/2/2024,217884.62
CUST0614,"Davis, Nichols and Woodward",32,Female,shodges@harris.com,507654344,Retail,848,Premium,5/30/2024,202371.44
CUST0207,Sparks Ltd,64,Male,zferguson@yahoo.com,508765455,Retail,438,Premium,9/20/2024,334228.39
CUST0424,"Hernandez, Riley and Buckley",41,Male,tracysmith@williams.com,501234591,Healthcare,69,Basic,1/25/2024,416727.08
CUST0271,Simmons Ltd,23,Female,david98@gmail.com,502345695,Finance,763,Enterprise,4/4/2024,189460.2
CUST0389,"Williams, Garcia and Boone",26,Other,alexistucker@gmail.com,503456807,Finance,601,Enterprise,7/22/2024,283033.27
CUST0219,Jenkins-Hurley,60,Male,jennifersalazar@burton.com,505678947,Healthcare,363,Enterprise,1/21/2024,470859.29
CUST0094,Rodriguez and Sons,45,Other,qthompson@gmail.com,507654345,Finance,992,Premium,10/14/2024,302203
CUST0238,Buckley and Sons,40,Male,washingtondarren@griffith.org,508765456,IT,520,Basic,8/15/2024,81591.44
CUST0813,Brown-Graham,48,Male,xthompson@ellis.com,501234592,Finance,359,Enterprise,10/22/2024,186942.72
CUST0588,Robinson-Phillips,35,Other,belindatran@miller.info,502345696,Manufacturing,827,Premium,8/13/2024,423351.8
CUST0750,Snow PLC,57,Other,butlerbradley@quinn-gordon.biz,503456808,IT,27,Enterprise,9/8/2024,464896.72
CUST0428,Smith Ltd,62,Female,jacquelinehodge@hotmail.com,505678948,Finance,185,Premium,5/29/2024,352835.89
CUST0190,"Cook, Johnson and Simmons",37,Female,kristinmiller@yahoo.com,507654346,Retail,7,Basic,9/30/2024,435582.04
CUST0274,Castro and Sons,54,Other,john17@crosby.com,508765457,Healthcare,72,Basic,2/17/2024,371779.68
CUST0697,Mckinney-Gregory,19,Male,zoliver@hotmail.com,501234593,IT,221,Premium,9/27/2024,212817.08
CUST0804,Crawford and Sons,39,Male,robert82@reed-wallace.com,502345697,Retail,320,Enterprise,6/21/2024,165569.53
CUST0538,Torres-Anderson,54,Other,kristinaperez@yahoo.com,503456809,Finance,905,Basic,4/2/2024,82012.05
CUST0771,Williams LLC,57,Male,lgreen@hart.com,505678949,Finance,279,Premium,5/4/2024,332659.65
CUST0511,Smith Ltd,49,Other,thomas49@hotmail.com,507654347,Healthcare,425,Premium,1/10/2024,111706.64
CUST0390,Williamson-Robinson,50,Male,nguyencathy@gmail.com,508765458,Retail,441,Basic,6/2/2024,145207
CUST0757,Henry PLC,61,Other,raymond65@watson-mitchell.com,501234594,Healthcare,540,Enterprise,2/3/2024,157667.6
CUST0590,Clark Group,32,Female,fitzpatrickbrittany@yahoo.com,502345698,IT,57,Basic,3/13/2024,106189.45
CUST0530,Roberts-Henry,31,Male,troy73@gmail.com,503456810,Retail,297,Premium,1/12/2024,64392.25
CUST0330,Hubbard Group,49,Other,bianca96@burton-alvarez.com,505678950,Healthcare,180,Basic,1/21/2024,193202.69
CUST0165,Ward-Fields,63,Male,robertsalyssa@gmail.com,507654348,IT,573,Enterprise,11/15/2024,404069.09
CUST0841,Smith PLC,22,Female,kimberly65@gmail.com,508765459,Finance,447,Basic,9/29/2024,232578.35
CUST0401,Butler Inc,22,Female,sandramendoza@vazquez-taylor.info,501234595,IT,440,Enterprise,2/20/2024,205189.33
CUST0196,Coleman Inc,58,Female,hamptonkatherine@gonzalez.net,502345699,Retail,118,Premium,8/21/2024,15324
CUST0220,Matthews and Sons,38,Male,anthony24@bailey.org,503456811,IT,472,Enterprise,3/7/2024,460286.03
CUST0535,"Smith, Swanson and Glass",23,Female,helen27@hotmail.com,505678951,Finance,250,Premium,2/18/2024,296491.29
CUST0311,Rodriguez-Taylor,51,Male,angela01@yahoo.com,507654349,Healthcare,892,Premium,11/7/2024,374173.39
CUST0214,Crosby-Richardson,32,Female,zpowers@mills-rhodes.com,508765460,Manufacturing,79,Enterprise,8/19/2024,318446.21
CUST0177,Martinez-Massey,51,Other,kathy99@yahoo.com,501234596,Manufacturing,928,Premium,3/30/2024,178794.37
CUST0383,"Dunlap, Johnson and Rojas",59,Male,lgregory@jacobs-murphy.com,502345700,Manufacturing,106,Basic,5/13/2024,131704.27
CUST0439,"Payne, Cisneros and Johnson",29,Other,reyesleonard@yahoo.com,503456812,Manufacturing,779,Enterprise,10/23/2024,42299.87
CUST0612,Carroll Group,58,Female,khart@hotmail.com,505678952,Healthcare,773,Enterprise,1/11/2024,381139.19
CUST0672,"Williams, Hood and Bailey",46,Other,oscar65@jenkins-brown.com,507654350,IT,659,Enterprise,7/28/2024,493333.31
CUST0151,Johnson-Barrett,38,Other,sadams@yahoo.com,508765461,Retail,155,Premium,9/25/2024,38801.7
CUST0817,"Harris, Crawford and Cain",46,Other,christinacox@yahoo.com,501234597,Retail,816,Premium,11/8/2024,297752.78
CUST0375,Weber Inc,40,Other,joshua98@simmons-reed.com,502345701,Finance,318,Premium,3/11/2024,228697.36
CUST0800,Burton PLC,21,Female,vlewis@adams-little.org,503456813,Retail,79,Enterprise,9/3/2024,432803.77
CUST0768,Singleton LLC,23,Other,jonathanburke@yahoo.com,505678953,IT,520,Premium,6/12/2024,234042.27
CUST0297,"Bullock, Harris and Nelson",53,Other,kristine48@newman.info,507654351,Finance,461,Enterprise,10/8/2024,327659.54
CUST0159,Young PLC,38,Other,tyler13@martinez.org,508765462,Healthcare,514,Basic,7/9/2024,479072.57
CUST0568,"Brooks, Fry and Stewart",46,Male,rvega@gmail.com,501234598,Retail,732,Basic,11/11/2024,254751.76
CUST0587,"Martinez, Camacho and Mathews",29,Male,browningphillip@yahoo.com,502345702,Manufacturing,725,Premium,5/9/2024,495538.08
CUST0147,"Henderson, Sellers and Garcia",51,Other,william56@daniel.com,503456814,IT,163,Premium,10/4/2024,189561.73
CUST0659,"Hines, Bradford and Jennings",36,Female,vmendoza@gmail.com,505678954,Healthcare,794,Premium,1/9/2024,341054.37
CUST0791,Leblanc Ltd,21,Other,mccannjames@christian.org,507654352,Retail,68,Premium,10/4/2024,51780.44
CUST0681,Lee LLC,61,Female,breyes@gmail.com,508765463,Retail,259,Enterprise,4/6/2024,426525.3
CUST0423,Aguilar-Holland,56,Male,harrisonmonica@sanders.biz,501234599,Retail,84,Enterprise,1/3/2024,333487.99
CUST0502,Wagner-James,40,Female,david80@hotmail.com,502345703,Healthcare,133,Enterprise,6/17/2024,355872.84
CUST0803,Green LLC,23,Female,victormcpherson@adkins-howe.com,503456815,IT,386,Enterprise,2/27/2024,396872.67
CUST0622,Hall Inc,26,Other,frank76@gmail.com,505678955,IT,96,Enterprise,3/11/2024,336875.74
CUST0788,Brady LLC,50,Female,foxashley@knapp-sanchez.info,507654353,Finance,372,Premium,6/25/2024,94230.15
CUST0255,"Moses, Wheeler and Smith",31,Female,unguyen@meadows.com,508765464,Healthcare,197,Basic,1/8/2024,499988.43
CUST0482,Martin Group,27,Male,davidhenry@yahoo.com,501234600,Retail,865,Basic,8/21/2024,256306.41
CUST0753,Davis-Henderson,52,Other,ryansimmons@gmail.com,502345704,IT,39,Enterprise,2/19/2024,171698.36
CUST0172,"Leach, Skinner and Mills",57,Male,arnoldsamantha@hotmail.com,503456816,IT,386,Basic,2/1/2024,85312.37
CUST0790,"Smith, Yang and Ford",62,Other,awilliams@evans.info,505678956,Manufacturing,739,Premium,6/2/2024,26627.75
CUST0141,Smith Ltd,41,Other,qholt@hotmail.com,507654354,Manufacturing,993,Premium,11/12/2024,307244.73
CUST0254,Horton and Sons,65,Female,timothythomas@graham.net,508765465,Manufacturing,547,Basic,10/13/2024,158186.61
CUST0758,"Wallace, Washington and Smith",48,Male,jameshudson@yahoo.com,501234601,Retail,695,Enterprise,1/15/2024,492297.7
CUST0715,Ross-Palmer,47,Female,jenniferrice@yahoo.com,502345705,Healthcare,515,Enterprise,6/23/2024,212237.11
CUST0232,"Graham, Martin and Barber",28,Male,samuel83@hotmail.com,503456817,IT,142,Premium,2/20/2024,30829
CUST0277,Gonzalez PLC,48,Female,leonsherry@yahoo.com,505678957,IT,957,Basic,6/16/2024,357143.48
CUST0707,Williamson Inc,51,Male,vscott@hammond-carrillo.net,507654355,Retail,86,Basic,1/17/2024,140031.69
